model,quant,n,mean_f1,std_f1,mean_precision,mean_recall,json_valid_pct,schema_valid_pct,mean_hallucination,exact_match_pct,mean_latency,mean_tokens_in,model_size_gb,success_rate
qwen2.5-3b,f16,174,0.068,0.226,0.0718,0.0661,8.0,86.2,0.0402,4.0,5.09,2485,5.75,9.2
qwen2.5-3b,q8_0,174,0.0795,0.2468,0.0833,0.0776,8.0,85.6,0.0402,5.2,4.47,2485,3.06,10.3
qwen2.5-3b,q6_k,174,0.0747,0.2263,0.0805,0.0718,8.6,87.4,0.023,3.4,4.4,2485,2.36,10.9
qwen2.5-3b,q5_k_m,174,0.0517,0.1761,0.0575,0.0489,5.7,89.1,0.0517,1.1,4.68,2485,2.07,8.6
qwen2.5-3b,q4_k_m,174,0.2021,0.3203,0.2155,0.1954,15.5,74.7,0.1162,7.5,6.54,2485,1.96,31.6
qwen2.5-3b,q3_k_m,174,0.0077,0.0589,0.0072,0.0086,13.8,84.5,0.0661,0.0,10.27,2485,1.48,1.7
qwen2.5-3b,q2_k,174,0.0115,0.0924,0.0115,0.0115,3.4,93.1,0.023,0.6,8.46,2485,1.19,1.7
llama-3.2-3b,f16,205,0.1618,0.3558,0.161,0.1634,1.0,90.7,0.0427,14.1,9.93,2532,5.99,18.0
llama-3.2-3b,q8_0,195,0.1752,0.371,0.1744,0.1769,1.0,90.8,0.0483,15.9,7.64,2537,3.19,19.0
llama-3.2-3b,q6_k,195,0.1836,0.377,0.1829,0.1846,2.6,93.3,0.0491,16.4,7.6,2537,2.46,20.0
llama-3.2-3b,q5_k_m,195,0.1844,0.3757,0.1829,0.1872,0.5,91.3,0.0791,16.4,8.74,2537,2.16,20.5
llama-3.2-3b,q4_k_m,195,0.1646,0.362,0.1632,0.1667,4.1,91.8,0.0718,14.9,6.94,2537,1.88,17.9
llama-3.2-3b,q3_k_l,195,0.1465,0.3222,0.1456,0.1487,5.6,93.8,0.0338,10.3,9.74,2537,1.69,19.0
phi-3.5-mini,q8_0,100,0.449,0.4051,0.4483,0.45,87.0,93.0,0.095,28.0,6.78,1772,3.78,62.0
phi-3.5-mini,q6_k,100,0.415,0.3896,0.415,0.415,88.0,94.0,0.105,23.0,6.75,1772,2.92,60.0
phi-3.5-mini,q5_k_m,100,0.405,0.374,0.405,0.405,88.0,89.0,0.095,20.0,6.37,1772,2.62,61.0
phi-3.5-mini,q4_k_m,100,0.51,0.4437,0.51,0.51,93.0,98.0,0.105,40.0,4.97,1772,2.23,62.0
phi-3.5-mini,q3_k_m,100,0.3702,0.3686,0.3645,0.38,91.0,98.0,0.225,18.0,5.91,1772,1.82,58.0
phi-3.5-mini,q2_k,100,0.2737,0.3595,0.2607,0.295,58.0,93.0,0.1852,10.0,5.16,1772,1.32,41.0
mistral-7b,q8_0,101,0.5248,0.438,0.5248,0.5248,75.2,91.1,0.203,40.6,12.25,1793,7.17,64.4
mistral-7b,q6_k,101,0.5198,0.4238,0.5198,0.5198,78.2,89.1,0.2525,37.6,11.93,1793,5.54,66.3
mistral-7b,q5_k_m,101,0.5743,0.4265,0.5743,0.5743,84.2,95.0,0.2822,44.6,10.05,1793,4.78,70.3
mistral-7b,q4_k_m,101,0.4505,0.4213,0.4505,0.4505,70.3,89.1,0.2327,30.7,12.78,1793,4.07,59.4
mistral-7b,q3_k_m,101,0.4208,0.4227,0.4208,0.4208,73.3,86.1,0.302,28.7,12.65,1793,3.28,55.4
mistral-7b,q2_k,101,0.3257,0.4146,0.3251,0.3267,64.4,96.0,0.297,22.8,14.0,1793,2.54,42.6
