page_id,model,context_type,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,cost_usd
7729414,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,1.0,574,1.23,0.001435
1034547,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,577,0.72,0.001442
1031214,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,718,1.05,0.001795
1006468,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,2674,1.34,0.006685
1295769,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,583,0.56,0.001458
1638269,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,6896,18.1,0.01724
2912700,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,3442,2.68,0.008605
3509424,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,8158,1.36,0.020395
1296722,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,1.0,660,3.2,0.00165
1645217,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,3707,10.71,0.009267
1010347,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,0,0.0,3388,4.71,0.00847
3511228,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,5207,2.11,0.013017
1294719,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,1136,0.97,0.00284
1633119,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,5949,11.4,0.014873
7971316,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,662,0.72,0.001655
4061988,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,1637,0.61,0.004092
1629159,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,1579,3.55,0.003947
6185136,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,3480,3.54,0.0087
1651695,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,0.0,8118,0.91,0.020295
1630683,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,717,0.74,0.001793
1011024,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,2870,34.27,0.007175
1651402,gpt-4o,markdown,37,131.29999999999998,0.5,0.5,0.5,0,1,1,1.0,4922,4.75,0.012305
8481530,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,7662,5.97,0.019155
996243,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,571,0.66,0.001427
7980863,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,744,0.79,0.00186
1086706,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,7407,6.79,0.018517
7984722,gpt-4o,markdown,37,131.29999999999998,0.0,0.0,0.0,0,1,1,0.0,8292,0.84,0.02073
7969550,gpt-4o,markdown,37,131.29999999999998,1.0,1.0,1.0,1,1,1,0.0,599,3.22,0.001497
